title,price_min,price_max,imgUrl,link,l1,l2,update date,itemid,tag,site,seller_type,is_official_shop
Unisex Anime Onesies Mulheres Homens Spiderman One Piece Macacões Ponto Cosplay Costumes Kigurumi Animal Pijama,60,70,https://cf.shopee.com.br/file/99a437326936aa71bb5de37824558645,http://shopee.com.br/product/691527526/20806485470,Women Clothes,Costumes,2026/3/31 20:21,20806485470,cos,BR,CNCB,Y
Anime Miku Role Playing Traje Peruca Tiara Conjunto Conjunto de Acessórios de Festa de Halloween Meninas Senhoras,90,100,https://cf.shopee.com.br/file/sg-11134201-7rfhq-m939a9n9dgv684,http://shopee.com.br/product/1165364828/28685162822,Women Clothes,Costumes,2026/3/31 20:21,28685162822,cos,TH,Local,N
